Driver,QualiTime,QualiPosition,FinishPosition,MedianRacePace,Status,SCLaps,Flagged,DNF_DSQ,SC_Affected,PositionDelta,PaceDelta,PositionScore,PaceScore,ConversionScore,RaceName,Year,RaceIndex,Constructor
PIA,89.683,8,8,96.68,Finished,0,False,False,False,0,6.997,50.0,52.7,51.35,Bahrain Grand Prix,2024,1,McLaren
TSU,90.129,12,14,97.575,Lapped,0,True,True,False,-2,7.446,33.33,17.01,25.17,Bahrain Grand Prix,2024,1,RB
NOR,89.614,7,6,96.566,Finished,0,False,False,False,1,6.952,58.33,56.28,57.3,Bahrain Grand Prix,2024,1,McLaren
SAI,89.507,4,3,96.149,Finished,0,False,False,False,1,6.642,58.33,80.92,69.62,Bahrain Grand Prix,2024,1,Ferrari
ALO,89.542,6,9,97.202,Finished,0,False,False,False,-3,7.66,25.0,0.0,12.5,Bahrain Grand Prix,2024,1,Aston Martin
OCO,90.793,19,17,97.843,Lapped,0,True,True,False,2,7.05,66.67,48.49,57.58,Bahrain Grand Prix,2024,1,Alpine
RUS,89.485,3,5,96.635,Finished,0,False,False,False,-2,7.15,33.33,40.54,36.94,Bahrain Grand Prix,2024,1,Mercedes
SAR,90.77,18,20,97.60749999999999,Lapped,0,True,True,False,-2,6.8375,33.33,65.38,49.36,Bahrain Grand Prix,2024,1,Williams
VER,89.179,2,1,95.581,Finished,0,False,False,False,1,6.402,58.33,100.0,79.16,Bahrain Grand Prix,2024,1,Red Bull Racing
PER,89.537,5,2,96.226,Finished,0,False,False,False,3,6.689,75.0,77.19,76.1,Bahrain Grand Prix,2024,1,Red Bull Racing
RIC,90.278,14,13,97.75,Lapped,0,True,True,False,1,7.472,58.33,14.94,36.64,Bahrain Grand Prix,2024,1,RB
ALB,90.221,13,15,97.874,Lapped,0,True,True,False,-2,7.653,33.33,0.56,16.94,Bahrain Grand Prix,2024,1,Williams
GAS,90.948,20,18,97.689,Lapped,0,True,True,False,2,6.741,66.67,73.05,69.86,Bahrain Grand Prix,2024,1,Alpine
