Driver,Year,RaceName,q_delta,fp3_delta,fp2_delta,fp1_delta,weighted_pace_delta,sessions_available,quali_position,pace_consistency,Constructor,constructor_avg_delta,FinishPosition,Relevance
HAM,2024,Bahrain Grand Prix,,,,,0.0,4,9,0.0,Mercedes,0.0,7,14
MAG,2024,Bahrain Grand Prix,,,,,0.0,4,15,0.0,Haas F1 Team,0.0,12,9
OCO,2024,Bahrain Grand Prix,,,,,0.0,4,19,0.0,Alpine,0.0,17,4
SAR,2024,Bahrain Grand Prix,,,,,0.0,4,18,0.0,Williams,0.0,20,1
ALO,2024,Bahrain Grand Prix,,,,,0.0,4,6,0.0,Aston Martin,0.0,9,12
BOT,2024,Bahrain Grand Prix,,,,,0.0,4,16,0.0,Kick Sauber,0.0,19,2
ZHO,2024,Bahrain Grand Prix,,,,,0.0,4,17,0.0,Kick Sauber,0.0,11,10
PIA,2024,Bahrain Grand Prix,,,,,0.0,4,8,0.0,McLaren,0.0,8,13
RUS,2024,Bahrain Grand Prix,,,,,0.0,4,3,0.0,Mercedes,0.0,5,16
LEC,2024,Bahrain Grand Prix,,,,,0.0,4,1,0.0,Ferrari,0.0,4,17
RIC,2024,Bahrain Grand Prix,,,,,0.0,4,14,0.0,RB,0.0,13,8
PER,2024,Bahrain Grand Prix,,,,,0.0,4,5,0.0,Red Bull Racing,0.0,2,19
TSU,2024,Bahrain Grand Prix,,,,,0.0,4,12,0.0,RB,0.0,14,7
GAS,2024,Bahrain Grand Prix,,,,,0.0,4,20,0.0,Alpine,0.0,18,3
VER,2024,Bahrain Grand Prix,,,,,0.0,4,2,0.0,Red Bull Racing,0.0,1,20
SAI,2024,Bahrain Grand Prix,,,,,0.0,4,4,0.0,Ferrari,0.0,3,18
STR,2024,Bahrain Grand Prix,,,,,0.0,4,11,0.0,Aston Martin,0.0,10,11
HUL,2024,Bahrain Grand Prix,,,,,0.0,4,10,0.0,Haas F1 Team,0.0,16,5
ALB,2024,Bahrain Grand Prix,,,,,0.0,4,13,0.0,Williams,0.0,15,6
NOR,2024,Bahrain Grand Prix,,,,,0.0,4,7,0.0,McLaren,0.0,6,15
HAM,2024,Saudi Arabian Grand Prix,,,,,0.0,4,9,0.0,Mercedes,0.0,9,12
