Driver,RaceName,Compound,StintLaps,DegRate,BaseTime,R2,PValue,MedianLapTime,DegRatePct
ALB,Australian Grand Prix,INTERMEDIATE,32,-0.1703,94.1,0.4234,0.0001,92.044,-0.181
ALB,Australian Grand Prix,MEDIUM,8,-2.469,123.08,0.0916,0.4662,115.061,-2.006
ALB,Bahrain Grand Prix,HARD,14,0.1272,97.434,0.6717,0.0003,98.342,0.1305
ALB,Bahrain Grand Prix,MEDIUM,22,0.0441,97.626,0.18,0.049,97.836,0.0452
ALB,Bahrain Grand Prix,SOFT,15,-0.0832,100.872,0.0402,0.4734,99.843,-0.0825
ALB,Chinese Grand Prix,HARD,35,-0.0559,98.205,0.8002,0.0,97.249,-0.0569
ALB,Chinese Grand Prix,MEDIUM,19,-0.1209,100.501,0.2098,0.0486,99.046,-0.1203
ALB,Japanense Grand Prix,HARD,28,-0.0853,93.418,0.8726,0.0,92.156,-0.0913
ALB,Japanense Grand Prix,MEDIUM,23,-0.1025,95.733,0.243,0.0169,94.194,-0.1071
ALB,Saudi Arabian Grand Prix,HARD,27,-0.0311,94.417,0.6176,0.0,93.918,-0.0329
ALB,Saudi Arabian Grand Prix,MEDIUM,18,0.0028,95.417,0.0006,0.9264,95.268,0.0029
ALO,Australian Grand Prix,INTERMEDIATE,25,-0.2831,96.183,0.8458,0.0,92.521,-0.2943
ALO,Bahrain Grand Prix,HARD,22,-0.0117,98.71,0.0174,0.5589,98.486,-0.0119
ALO,Bahrain Grand Prix,MEDIUM,29,-0.0226,99.801,0.0044,0.7318,99.589,-0.0226
ALO,Japanense Grand Prix,HARD,28,-0.04,93.015,0.807,0.0,92.408,-0.043
ALO,Japanense Grand Prix,MEDIUM,22,-0.022,94.799,0.1828,0.0472,94.48,-0.0232
ALO,Saudi Arabian Grand Prix,HARD,30,-0.0719,95.391,0.6283,0.0,94.413,-0.0754
ALO,Saudi Arabian Grand Prix,MEDIUM,15,-0.0433,96.147,0.0619,0.3712,95.739,-0.045
ANT,Australian Grand Prix,HARD,8,-2.5523,123.174,0.1042,0.4356,115.445,-2.0721
ANT,Australian Grand Prix,INTERMEDIATE,31,-0.1784,93.753,0.316,0.001,91.319,-0.1903
ANT,Bahrain Grand Prix,MEDIUM,13,0.0799,98.181,0.4094,0.0185,98.744,0.0814
ANT,Bahrain Grand Prix,SOFT,36,0.0158,98.222,0.0068,0.6317,98.104,0.0161
ANT,Chinese Grand Prix,HARD,43,-0.0693,99.091,0.8103,0.0,97.657,-0.0699
ANT,Chinese Grand Prix,MEDIUM,11,-0.1134,99.968,0.0879,0.376,98.965,-0.1134
ANT,Japanense Grand Prix,HARD,21,-0.0257,91.677,0.3796,0.0029,91.4,-0.028
