Driver,Compound,MeanDegRate,StdDegRate,Races,TotalStints
NOR,HARD,-2.5234,4.9452,4,4
PIA,HARD,-2.2852,4.4945,4,4
RUS,HARD,-1.4969,2.9346,4,4
GAS,HARD,-0.756,1.5086,4,4
ANT,HARD,-0.6732,1.2529,4,4
STR,HARD,-0.5248,1.1098,5,5
HAM,HARD,-0.2715,0.5878,5,5
ALO,HARD,-0.0412,0.0301,3,3
HAD,HARD,-0.0322,0.0367,4,4
SAI,HARD,-0.0235,0.0254,3,3
LEC,HARD,-0.0233,0.0913,5,5
OCO,HARD,-0.0195,0.0526,4,4
TSU,HARD,-0.0162,0.0489,2,2
LAW,HARD,-0.0132,0.0885,3,3
ALB,HARD,-0.0113,0.0949,4,4
BEA,HARD,-0.0106,0.0779,4,4
HUL,HARD,-0.0086,0.0323,3,3
VER,HARD,-0.002,0.0833,4,4
BOR,HARD,0.0103,0.0584,4,4
DOO,HARD,0.0147,0.0573,4,4
ALO,INTERMEDIATE,-0.2831,,1,1
BOR,INTERMEDIATE,-0.2744,,1,1
GAS,INTERMEDIATE,-0.2219,,1,1
LAW,INTERMEDIATE,-0.2187,,1,1
TSU,INTERMEDIATE,-0.2019,,1,1
HAM,INTERMEDIATE,-0.189,,1,1
ANT,INTERMEDIATE,-0.1784,,1,1
OCO,INTERMEDIATE,-0.1758,,1,1
NOR,INTERMEDIATE,-0.1725,,1,1
ALB,INTERMEDIATE,-0.1703,,1,1
HUL,INTERMEDIATE,-0.1645,,1,1
LEC,INTERMEDIATE,-0.1595,,1,1
PIA,INTERMEDIATE,-0.1551,,1,1
RUS,INTERMEDIATE,-0.1546,,1,1
VER,INTERMEDIATE,-0.1402,,1,1
STR,INTERMEDIATE,-0.1383,,1,1
BEA,INTERMEDIATE,-0.127,,1,1
BOR,MEDIUM,-0.9547,1.6062,3,3
VER,MEDIUM,-0.9198,2.0271,5,5
HUL,MEDIUM,-0.6814,1.6072,5,5
ALB,MEDIUM,-0.5291,1.0867,5,5
GAS,MEDIUM,-0.1423,0.2758,3,3
HAD,MEDIUM,-0.0561,0.1298,4,4
TSU,MEDIUM,-0.0551,0.2033,4,4
LEC,MEDIUM,-0.0385,0.0546,4,4
ALO,MEDIUM,-0.0293,0.0121,3,3
ANT,MEDIUM,-0.0281,0.0853,4,4
RUS,MEDIUM,-0.0214,0.0478,4,4
HAM,MEDIUM,-0.0164,0.0128,4,4
BEA,MEDIUM,-0.0147,0.014,3,3
PIA,MEDIUM,-0.0081,0.0478,4,4
NOR,MEDIUM,-0.0059,0.0445,4,4
SAI,MEDIUM,0.0264,0.0827,4,4
DOO,MEDIUM,0.031,0.1102,2,2
STR,MEDIUM,0.0422,0.0467,4,4
OCO,MEDIUM,0.3125,0.7713,4,4
LAW,MEDIUM,0.3476,0.81,5,5
OCO,SOFT,-0.6644,,1,1
DOO,SOFT,-0.249,0.217,2,2
VER,SOFT,-0.2155,,1,1
ALB,SOFT,-0.0832,,1,1
STR,SOFT,-0.0681,0.1863,2,2
TSU,SOFT,-0.0443,,1,1
GAS,SOFT,-0.0332,,1,1
NOR,SOFT,-0.0277,,1,1
BEA,SOFT,-0.0058,,1,1
HAD,SOFT,0.0062,,1,1
RUS,SOFT,0.011,,1,1
ANT,SOFT,0.0158,,1,1
LAW,SOFT,0.0225,0.0107,2,2
SAI,SOFT,0.0253,0.0508,2,2
PIA,SOFT,0.0739,,1,1
